#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf57.46.100
#tb 0: 1/25
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 2048x1024
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  6291456, 758f0d6f35fb53b7c683164b8d619abb
0,          1,          1,        1,  6291456, 00d85252893fb8c0ebf002c2ffd1b005
0,          2,          2,        1,  6291456, 1564bb0656b6d37ecd61f69213fab0c4
0,          3,          3,        1,  6291456, faa21a7a716fb6bbc33f56c262f11e78
0,          4,          4,        1,  6291456, c0bc45e8643baefe703af4769544959d
0,          5,          5,        1,  6291456, 37187f0d1933636a3c7f7f1eea0e6ad3
0,          6,          6,        1,  6291456, bed929f7cc503b18f00789c4886134ae
0,          7,          7,        1,  6291456, 06b5c75a6f984abb68ffecb96cd927f0
0,          8,          8,        1,  6291456, 721bc48b5206a3bffb33f58fd718ff74
0,          9,          9,        1,  6291456, 9088fd03ff0942bc059ef7a2631d241a
0,         10,         10,        1,  6291456, 25383cc61891944163312023cec457a2
0,         11,         11,        1,  6291456, b9b614f1e702880379fcd9ac1bcbd539
0,         12,         12,        1,  6291456, 2d473bc8acc33fa2a9cf85a2c653f350
0,         13,         13,        1,  6291456, abb70da7337f0d413033e58642baf2bb
0,         14,         14,        1,  6291456, da6873626cb33b6e7444a2725a6d0ffe
0,         15,         15,        1,  6291456, a316f44fd560f219190ee91bdec53d45
0,         16,         16,        1,  6291456, b972d44398e9243b6b88c63021a1f302
0,         17,         17,        1,  6291456, 379397528ec58956c5cbf356e788200e
0,         18,         18,        1,  6291456, ab30f1db95e1621f8351a42eb6d250ce
0,         19,         19,        1,  6291456, 64f357026de3f9e78b7686156fb0b8b0
0,         20,         20,        1,  6291456, ae10ce06ee5423d2e37ba2476f32965d
0,         21,         21,        1,  6291456, 7030c3311bad36a92cc46abffc204a93
0,         22,         22,        1,  6291456, 27f570b94fa24755c58ebe69a49e2865
0,         23,         23,        1,  6291456, 07232c2b0a69f09b68bef6746b2f1961
0,         24,         24,        1,  6291456, 4bc97218de504abded1460daa68c824d
0,         25,         25,        1,  6291456, f26ef2d8ec63acb94a35832a6ad47ce2
0,         26,         26,        1,  6291456, 5dfa9de9625bd9eaf45b7c9fb5831944
0,         27,         27,        1,  6291456, 6d1699677bf7a308f3a8c9c029d8746d
0,         28,         28,        1,  6291456, 8b3b3f96598e2448c2c849e5eb7c035b
0,         29,         29,        1,  6291456, b1db32f45cb555ee22e53a59c7785fde
